job_id,status,source_experiment_id,model,workload,gpu_count,tensor_parallel_size,request_rate,mst_rate,energy_joules,incremental_energy_joules,energy_kwh,avg_power_w,idle_avg_power_w,incremental_avg_power_w,min_power_w,p50_power_w,p90_power_w,p95_power_w,p99_power_w,max_power_w,energy_per_successful_request_j,incremental_energy_per_successful_request_j,energy_per_total_request_j,incremental_energy_per_total_request_j,energy_per_total_token_j,incremental_energy_per_total_token_j,successful_requests,started_requests,total_input_tokens,total_output_tokens,total_tokens,monitor_duration_s,repeat_count,successful_repeat_count
qwen-qwen3-14b-live-sharegpt-workload-context-8-r1_16,succeeded,qwen3-14b-a100-tp1,Qwen/Qwen3-14B,live_sharegpt_workload_context_8192,1,1,1.16,1.16599614473,60087.4952065,46851.4418805,0.0166909708907,253.593105368,55.8614043442,197.731701024,56.006,285.548,296.176,298.0649,425.42115,494.926,293.109732715,228.543618929,293.109732715,228.543618929,0.572987643458,0.446770117201,205,205,47188,57679,104867,236.9445144,1,
google-gemma-4-26b-a4b-it-live-sharegpt-workload-context-8-r10_55,succeeded,gemma-4-26b-a4b-it-a100-tp2,google/gemma-4-26B-A4B-it,live_sharegpt_workload_context_8192,2,2,10.55,10.5501260519,117184.51643,88754.2187432,0.032551254564,480.042801918,116.463848441,363.578953477,117.764,547.809,591.932,626.55,663.212,696.21,64.2458971658,48.659111153,64.2458971658,48.659111153,0.121399004262,0.0919462238504,1824,1824,441046,524238,965284,244.112641544,1,
qwen-qwen3-30b-a3b-instruct-2507-live-sharegpt-workload-context-8-r15_75,succeeded,qwen3-30b-a3b-instruct-a100-tp4,Qwen/Qwen3-30B-A3B-Instruct-2507,live_sharegpt_workload_context_8192_mst_anomaly_rerun,4,4,15.75,15.75,219674.969606,165669.868002,0.0610208248904,928.150683745,228.177439008,699.973244737,230.017,1057.9,1150.737,1189.823,1267.62834,1341.326,78.3154971856,59.0623415338,78.3154971856,59.0623415338,0.155485886548,0.117261089631,2805,2805,643047,769782,1412829,236.680286351,1,
meta-llama-llama-3-2-3b-instruct-live-sharegpt-workload-context-8-r21_41,succeeded,llama-3-2-3b-instruct-a100-tp1,meta-llama/Llama-3.2-3B-Instruct,live_sharegpt_workload_context_8192,1,1,21.41,21.4147711468,75046.0477947,60785.6553055,0.0208461243874,320.417820794,60.8864026734,259.53141812,61.093,362.323,421.073,436.378,457.611,482.003,19.2277857532,15.5740853972,19.2277857532,15.5740853972,0.0384566356408,0.0311490327201,3903,3903,893096,1058350,1951446,234.213089674,1,
qwen-qwen3-0-6b-live-sharegpt-workload-context-8-r40_16,succeeded,qwen3-0-6b-a100-tp1,Qwen/Qwen3-0.6B,live_sharegpt_workload_context_8192,1,1,40.16,40.1627687598,67596.1826951,54015.8610591,0.0187767174153,279.840489772,56.2209832916,223.61950648,56.675,324.66,382.5948,395.332,415.236,441.06,9.41844540826,7.52624509671,9.41844540826,7.52624509671,0.0185236534366,0.0148021833548,7177,7177,1676455,1972727,3649182,241.552545703,1,
qwen-qwen3-1-7b-live-sharegpt-workload-context-8-r33_43,succeeded,qwen3-1-7b-a100-tp1,Qwen/Qwen3-1.7B,live_sharegpt_workload_context_8192_mst_anomaly_rerun,1,1,33.43,33.4352758286,78984.9347873,64250.5997308,0.0219402596631,326.307795442,60.8714611529,265.436334289,60.61,383.753,412.244,422.3984,436.618,449.075,13.0059171393,10.5797134416,13.0059171393,10.5797134416,0.0253864571126,0.0206507114163,6073,6073,1446633,1664669,3111302,242.056536468,1,
qwen-qwen3-30b-a3b-instruct-2507-live-sharegpt-workload-context-8-r2_88,succeeded,qwen3-30b-a3b-instruct-a100-tp2,Qwen/Qwen3-30B-A3B-Instruct-2507,live_sharegpt_workload_context_8192,2,2,2.88,2.88770561735,93427.9752825,67780.9213781,0.0259522153562,410.468388001,112.678294069,297.790093932,112.302,466.995,485.419,498.086,574.542,687.469,186.111504547,135.021755733,186.111504547,135.021755733,0.362278394984,0.262828808322,502,502,121470,136420,257890,227.613083038,1,
qwen-qwen3-4b-instruct-2507-live-sharegpt-workload-context-8-r15_28,succeeded,qwen3-4b-instruct-a100-tp1,Qwen/Qwen3-4B-Instruct-2507,live_sharegpt_workload_context_8192_mst_anomaly_rerun,1,1,15.28,15.2876435376,72704.1712067,59099.3946662,0.020195603113,307.248785446,57.4939649123,249.754820533,58.296,351.451,415.96,430.61,451.84319,462.66,26.4474977107,21.4985066083,26.4474977107,21.4985066083,0.0525833211273,0.0427436610112,2749,2749,630489,752158,1382647,236.629645586,1,
openai-gpt-oss-20b-live-sharegpt-workload-context-8-r22_48,succeeded,gpt-oss-20b-a100-tp1,openai/gpt-oss-20b,live_sharegpt_workload_context_8192,1,1,22.48,22.4850652808,75652.1088245,62623.2833243,0.0210144746735,316.183247158,54.4531595656,261.730087592,54.923,371.173,387.583,392.956,399.327,408.683,19.1961707243,15.8902013003,18.642707941,15.4320560188,0.038325201841,0.0317248257933,3941,4058,927316,1046636,1973952,239.266657878,1,
meta-llama-llama-3-2-1b-instruct-live-sharegpt-workload-context-8-r15_9,succeeded,llama-3-2-1b-instruct-a100-tp1,meta-llama/Llama-3.2-1B-Instruct,live_sharegpt_workload_context_8192,1,1,15.9,15.9021193742,48750.4116124,34878.5877789,0.0135417810035,214.275087913,60.9715112782,153.303576635,61.204,239.421,257.588,279.8255,367.609,455.529,17.1777348881,12.2898477022,17.1777348881,12.2898477022,0.0347558602252,0.02486615562,2838,2838,630630,772023,1402653,227.513203178,1,
