job_id,status,source_experiment_id,model,workload,gpu_count,tensor_parallel_size,request_rate,mst_rate,energy_joules,incremental_energy_joules,energy_kwh,avg_power_w,idle_avg_power_w,incremental_avg_power_w,min_power_w,p50_power_w,p90_power_w,p95_power_w,p99_power_w,max_power_w,energy_per_successful_request_j,incremental_energy_per_successful_request_j,energy_per_total_request_j,incremental_energy_per_total_request_j,energy_per_total_token_j,incremental_energy_per_total_token_j,successful_requests,started_requests,total_input_tokens,total_output_tokens,total_tokens,monitor_duration_s,repeat_count,successful_repeat_count
qwen-qwen3-14b-wildchat-hf-8k-r3_74,succeeded,wildchat-qwen14-8k-tp1,Qwen/Qwen3-14B,wildchat_hf_8k,1,1,3.74,3.74014853849,70637.800911,55280.4879888,0.0196216113642,272.008070862,59.1370768588,212.870994003,59.712,301.281,348.72,400.967,450.893,505.698,106.062764131,83.0037357189,106.062764131,83.0037357189,0.205576706337,0.160882424125,666,666,128812,214796,343608,259.690091868,1,
google-gemma-4-26b-a4b-it-wildchat-hf-8k-r8_23,succeeded,wildchat-30b-8k-tp2-8158dd8288,google/gemma-4-26B-A4B-it,wildchat_hf_8k,2,2,8.23,8.23574172458,114553.916962,86148.6804403,0.0318205324895,461.014349548,114.314918129,346.69943142,113.737,521.384,561.041,594.906,645.295,677.133,77.6636725167,58.4058850443,77.6636725167,58.4058850443,0.148866440586,0.111952936734,1475,1475,297936,471572,769508,248.482323976,1,
qwen-qwen3-30b-a3b-instruct-2507-wildchat-hf-8k-mst-anomaly-rerun-r13,succeeded,wildchat-30b-8k-tp4-b9dc5737c4,Qwen/Qwen3-30B-A3B-Instruct-2507,wildchat-hf-8k_mst_anomaly_rerun,4,4,13,13,234197.592957,176792.628316,0.0650548869324,949.995814147,232.856689223,717.139124924,236.198,1068.565,1198.857,1243.245,1317.6296,1422.52,99.362576562,75.0074791328,99.362576562,75.0074791328,0.191589755616,0.14462854219,2357,2357,460477,761914,1222391,246.524868288,1,
openai-gpt-oss-20b-wildchat-hf-r15_1,succeeded,wildchat-full-single-gpu-bde010d853,openai/gpt-oss-20b,wildchat_hf,1,1,15.1,15.1051297962,79371.4634567,64520.9036457,0.022047628738,309.345500915,57.8791629073,251.466338008,57.83,368.005,395.793,400.727,406.726,416.594,28.3672135299,23.0596510528,28.3672135299,23.0596510528,0.05595836967,0.045488446608,2798,2798,529509,888893,1418402,256.578690241,1,
qwen-qwen3-30b-a3b-instruct-2507-wildchat-hf-8k-r7_94,succeeded,wildchat-30b-8k-tp2-67bf10b5cc,Qwen/Qwen3-30B-A3B-Instruct-2507,wildchat_hf_8k,2,2,7.94,7.94063795956,119854.043233,91225.4173438,0.0332927897869,469.540597386,112.155599759,357.384997627,111.901,518.515,609.6154,637.2328,680.756,716.709,84.7624068125,64.5158538499,84.7624068125,64.5158538499,0.165890474779,0.126265475798,1414,1414,270669,451820,722489,255.258105263,1,
qwen-qwen3-32b-wildchat-hf-8k-r1_94,succeeded,wildchat-30b-8k-tp2-94ba8a5e2e,Qwen/Qwen3-32B,wildchat_hf_8k,2,2,1.94,1.94462526307,126624.281635,98854.2358364,0.0351734115652,521.433806464,114.355955267,407.077851197,115.279,582.698,622.165,708.861,816.04444,919.281,349.790833245,273.077999548,349.790833245,273.077999548,0.655350911078,0.511625516709,362,362,70699,122517,193216,242.838650017,1,
meta-llama-llama-2-13b-chat-hf-wildchat-hf-4k-r0_88,succeeded,wildchat-llama2-4k-tp1-e9a25d0564,meta-llama/Llama-2-13b-chat-hf,wildchat_hf_4k,1,1,0.88,0.889698016287,64081.0170727,49770.6006684,0.0178002825202,259.415066737,57.9319398496,201.483126888,58.692,304.323,319.432,322.073,406.726,504.394,393.135074065,305.341108395,393.135074065,305.341108395,0.716541434991,0.556525149762,163,163,29270,60161,89431,247.021184539,1,
meta-llama-codellama-34b-instruct-hf-wildchat-hf-8k-r1_87,succeeded,wildchat-30b-8k-tp2-09ada858af,meta-llama/CodeLlama-34b-Instruct-hf,wildchat_hf_8k,2,2,1.87,1.8708445882,145359.239906,114301.050077,0.0403775666406,524.364062564,112.038275689,412.325786875,114.015,570.119,610.307,716.732,816.702,890.593,423.787871447,333.239213053,423.787871447,333.239213053,0.681545018057,0.535922665041,343,343,86482,126797,213279,277.2105304,1,
qwen-qwen3-4b-thinking-2507-wildchat-hf-mst-anomaly-rerun-r10_91,succeeded,wildchat-full-single-gpu-b342026d33,Qwen/Qwen3-4B-Thinking-2507,wildchat-hf_mst_anomaly_rerun,1,1,10.91,10.9127949136,73093.7046904,57704.635201,0.0203038068584,290.135350772,61.0847827903,229.050567981,61.587,317.203,398.2134,414.696,444.67392,467.944,36.7674570877,29.0264764593,36.7674570877,29.0264764593,0.0672301591316,0.0530755941791,1988,1988,411891,675325,1087216,251.929675222,1,
google-gemma-4-e4b-it-wildchat-hf-r11_89,succeeded,wildchat-full-single-gpu-d55a3be75e,google/gemma-4-E4B-it,wildchat_hf,1,1,11.89,11.8922613873,61715.1045009,47358.7045463,0.0171430845836,240.740619023,56.0019891395,184.738629884,56.281,261.425,308.3036,378.3545,430.184,452.643,30.2821906285,23.2378334378,30.2821906285,23.2378334378,0.0562164601051,0.0431391755112,2038,2038,435943,661869,1097812,256.355179077,1,
