job_id,status,source_experiment_id,model,workload,gpu_count,tensor_parallel_size,request_rate,mst_rate,energy_joules,incremental_energy_joules,energy_kwh,avg_power_w,idle_avg_power_w,incremental_avg_power_w,min_power_w,p50_power_w,p90_power_w,p95_power_w,p99_power_w,max_power_w,energy_per_successful_request_j,incremental_energy_per_successful_request_j,energy_per_total_request_j,incremental_energy_per_total_request_j,energy_per_total_token_j,incremental_energy_per_total_token_j,successful_requests,started_requests,total_input_tokens,total_output_tokens,total_tokens,monitor_duration_s,repeat_count,successful_repeat_count
qwen-qwen3-30b-a3b-instruct-2507-crosscodeeval-rg1-unixcoder-cach-r28-93aea132,succeeded,code-workloads-30b-tp2-af362ed0b3,Qwen/Qwen3-30B-A3B-Instruct-2507,crosscodeeval-rg1-unixcoder-cache-realistic-shard-000_mst_anomaly_rerun,2,2,28,28,165231.224626,120715.959435,0.0458975623962,867.704158933,233.769862991,633.934295942,237.897,882.019,1016.0527,1061.70065,1131.11252,1154.545,32.4173483669,23.6837275721,32.3855791114,23.6605173334,0.0266218238088,0.019449586543,5097,5102,6188079,18529,6206608,190.423455881,1,
qwen-qwen3-30b-a3b-instruct-2507-repobench-python-java-aggregate-r11_5-6e504ffc,succeeded,code-workloads-30b-tp2-13ceea3a59,Qwen/Qwen3-30B-A3B-Instruct-2507,repobench-python-java-aggregate-cache-realistic-8k-drop-shard-000_mst_anomaly_rerun,2,2,11.5,11.5,98425.3483766,53311.9191632,0.027340374549,516.790127433,236.871651629,279.918475804,238.444,518.261,723.462,782.4787,901.44924,1064.582,56.0828195878,30.3771619163,47.4110541313,25.6801152038,0.0127787538311,0.00692158983924,1755,2076,7698141,4124,7702265,190.455163812,1,
google-gemma-4-31b-it-shard-000-r0_12,succeeded,code-workloads-30b-tp2-1c09a77f7c,google/gemma-4-31B-it,shard_000,2,2,0.12,0.126430055754,46261.110297,3192.64783994,0.0128503084158,255.21493352,237.601620718,17.6133128019,235.047,236.482,321.6372,392.25785,488.666,595.549,1713.37445544,118.246216294,1713.37445544,118.246216294,1.30988221811,0.090399746296,27,27,35237,80,35317,181.263336196,1,
google-gemma-4-31b-it-shard-000-r0_62,succeeded,code-workloads-30b-tp2-108c6c4d6c,google/gemma-4-31B-it,shard_000,2,2,0.62,0.624084225087,62034.9158666,15436.1106438,0.0172319210741,315.706767485,237.14964323,78.5571242551,235.375,238.258,524.527,659.7633,936.81066,1282.81,667.042106093,165.979684342,500.28157957,124.484763256,0.108826503402,0.0270792331063,93,124,569899,136,570035,196.495362962,1,
meta-llama-llama-3-1-8b-instruct-crosscodeeval-rg1-unixcoder-cach-r23,succeeded,code-workloads-single-gpu-598f3afec0,meta-llama/Llama-3.1-8B-Instruct,crosscodeeval-rg1-unixcoder-cache-realistic-shard-000_mst_anomaly_rerun,1,1,23,23,106107.115457,84221.2976926,0.0294741987379,557.538901571,114.998836257,442.540065314,117.076,569.535,682.866,692.1934,698.86704,706.97,25.629738033,20.3433086214,25.62354877,20.3383959654,0.021276098409,0.0168876574406,4140,4141,4972098,15053,4987151,190.313384694,1,
meta-llama-llama-3-1-8b-instruct-repobench-python-java-aggregate-r8_5,succeeded,code-workloads-single-gpu-104689c8d7,meta-llama/Llama-3.1-8B-Instruct,repobench-python-java-aggregate-cache-realistic-8k-drop-shard-000_mst_anomaly_rerun,1,1,8.5,8.5,57633.2197055,33614.0621382,0.016009227696,301.997450589,125.860126984,176.137323605,125.546,292.265,450.996,491.201,574.272,632.087,42.7546140249,24.936247877,36.0432893718,21.0219275411,0.00953930364252,0.00556371389682,1348,1599,6038058,3601,6041659,190.840086872,1,
qwen-qwen3-235b-a22b-thinking-2507-shard-000-r2_12,succeeded,code-workloads-qwen3-235b-a22b-tp8-5e4d341c9d,Qwen/Qwen3-235B-A22B-Thinking-2507,shard_000,8,8,2.12,2.125,265383.230372,82889.5419001,0.0737175639921,1400.76796346,963.25345044,437.514513019,964.14,1351.492,1865.8731,2043.998,2318.87526,2783.604,661.803567012,206.707087033,658.519182064,205.68124541,0.541800775334,0.169225530964,401,403,488401,1416,489817,189.455525322,1,
qwen-qwen3-235b-a22b-thinking-2507-shard-000-r0_81,succeeded,code-workloads-qwen3-235b-a22b-tp8-e9bc7d96d8,Qwen/Qwen3-235B-A22B-Thinking-2507,shard_000,8,8,0.81,0.8125,225069.219874,43864.0301853,0.0625192277428,1195.92418513,962.848980154,233.075204976,957.618,1038.236,1637.6872,2142.3794,2733.46588,3371.401,1596.23560194,311.092412661,1364.05587802,265.842607183,0.362401710451,0.0706289361794,141,165,620694,355,621049,188.196896319,1,
qwen-qwen3-8b-crosscodeeval-rg1-unixcoder-cach-r22,succeeded,code-workloads-single-gpu-d33f40676f,Qwen/Qwen3-8B,crosscodeeval-rg1-unixcoder-cache-realistic-shard-000_mst_anomaly_rerun,1,1,22,22,105840.899609,83111.0568079,0.0294002498913,556.369248401,119.482974937,436.886273463,122.56,567.81,684.042,692.142,699.19821,708.048,26.1852794677,20.5618646234,26.1593918953,20.5415365319,0.0214368913548,0.0168332157206,4042,4046,4922872,14453,4937325,190.234992162,1,
qwen-qwen3-8b-repobench-python-java-aggregate-r2_62,succeeded,code-workloads-single-gpu-968a99498a,Qwen/Qwen3-8B,repobench-python-java-aggregate-cache-realistic-8k-drop-shard-000_mst_anomaly_rerun,1,1,2.62,2.625,32962.1189844,10224.5535483,0.00915614416232,173.156022655,119.444578112,53.7114445427,118.816,148.903,265.967,309.951,404.1951,496.226,88.8466818985,27.5594435263,74.0721774929,22.9765248276,0.0186788398015,0.00579400850596,371,445,1763554,1123,1764677,190.360799925,1,
qwen-qwen3-4b-thinking-2507-crosscodeeval-rg1-unixcoder-cach-r37,succeeded,code-workloads-single-gpu-0d2b25b0fd,Qwen/Qwen3-4B-Thinking-2507,crosscodeeval-rg1-unixcoder-cache-realistic-shard-000_mst_anomaly_rerun,1,1,37,37,102919.436337,80262.451623,0.0285887323158,540.579845374,119.004822891,421.575022483,122.605,548.807,645.756,672.444,695.1732,704.162,15.6507658663,12.2053606483,15.6388749942,12.1960874674,0.0130020343693,0.0101397286237,6576,6581,7891617,24024,7915641,190.387113426,1,
qwen-qwen3-4b-thinking-2507-repobench-python-java-aggregate-r4,succeeded,code-workloads-single-gpu-69139254ca,Qwen/Qwen3-4B-Thinking-2507,repobench-python-java-aggregate-cache-realistic-8k-drop-shard-000_mst_anomaly_rerun,1,1,4,4,31431.3657824,9460.712238,0.00873093493955,165.41055339,115.622654971,49.7878984192,115.706,148.983,237.562,262.4962,317.5438,411.878,53.1833600379,16.0079733299,44.7103353946,13.4576276501,0.0114733615607,0.00345343479121,591,703,2737992,1516,2739508,190.020316952,1,
qwen-qwen3-30b-a3b-thinking-2507-crosscodeeval-rg1-unixcoder-cach-r28,succeeded,code-workloads-30b-tp2-3f75d58d67,Qwen/Qwen3-30B-A3B-Thinking-2507,crosscodeeval-rg1-unixcoder-cache-realistic-shard-000_mst_anomaly_rerun,2,2,28,28,164948.516778,119897.895016,0.0458190324382,868.880158381,237.307931806,631.572226575,239.544,881.818,1017.044,1057.316,1130.142,1183.594,33.2289518085,24.1534840887,33.1955155519,24.1291799188,0.0274219596392,0.0199324934967,4964,4969,5996967,18231,6015198,189.840353916,1,
qwen-qwen3-30b-a3b-thinking-2507-repobench-python-java-aggregate-r12,succeeded,code-workloads-30b-tp2-2ff4ed2a21,Qwen/Qwen3-30B-A3B-Thinking-2507,repobench-python-java-aggregate-cache-realistic-8k-drop-shard-000_mst_anomaly_rerun,2,2,12,12,99891.9392041,54698.101771,0.02774776089,525.606123208,237.79854386,287.807579348,237.52,524.865,741.6612,799.998,912.108,1067.484,57.0811081166,31.2560581549,48.3036456499,26.4497590769,0.0130245971181,0.00713191419019,1750,2068,7665095,4389,7669484,190.050942699,1,
qwen-qwen3-4b-instruct-2507-crosscodeeval-rg1-unixcoder-cach-r35,succeeded,code-workloads-single-gpu-1fa7fc3a31,Qwen/Qwen3-4B-Instruct-2507,crosscodeeval-rg1-unixcoder-cache-realistic-shard-000_mst_anomaly_rerun,1,1,35,35,101029.609745,78442.8445467,0.0280637804848,531.957928661,118.927598162,413.030330499,122.623,541.032,642.027,670.071,693.4962,704.601,15.9831687621,12.4098789031,15.9705358434,12.4000702729,0.0132073378,0.0102546288017,6321,6326,7626550,22956,7649506,189.920300652,1,
qwen-qwen3-4b-instruct-2507-repobench-python-java-aggregate-r5,succeeded,code-workloads-single-gpu-524fdfc336,Qwen/Qwen3-4B-Instruct-2507,repobench-python-java-aggregate-cache-realistic-8k-drop-shard-000_mst_anomaly_rerun,1,1,5,5,34723.5416346,11814.1879053,0.00964542823183,182.762518173,120.58018797,62.182330203,119.282,166.208,255.333,288.191,339.642,439.971,47.9606928655,16.3179390957,40.5648850872,13.8016213847,0.0105241988345,0.00358070797882,724,856,3297754,1646,3299400,189.99268549,1,
google-gemma-4-e4b-it-crosscodeeval-rg1-unixcoder-cach-r19,succeeded,code-workloads-single-gpu-1c1ebf51f1,google/gemma-4-E4B-it,crosscodeeval-rg1-unixcoder-cache-realistic-shard-000_mst_anomaly_rerun,1,1,19,19,74333.7409447,52136.5633349,0.0206482613735,387.695502276,115.77173183,271.923770446,117.027,406.279,539.38,590.125,641.621,671.555,22.1034020056,15.5029923684,22.0640370866,15.4753824087,0.0151211832671,0.0106057695884,3363,3369,4903938,11930,4915868,191.732275738,1,
google-gemma-4-e4b-it-repobench-python-java-aggregate-r8_5,succeeded,code-workloads-single-gpu-93f76de67e,google/gemma-4-E4B-it,repobench-python-java-aggregate-cache-realistic-8k-drop-shard-000_mst_anomaly_rerun,1,1,8.5,8.5,47441.2585516,24120.0141564,0.0131781273755,243.074880601,119.491111111,123.58376949,119.613,228.296,371.086,413.27,508.898,632.001,38.5075150582,19.5779335685,30.7262037252,15.6217708267,0.00658898864647,0.0033499638138,1232,1544,7198664,1418,7200082,195.171374493,1,
meta-llama-llama-3-2-3b-instruct-crosscodeeval-rg1-unixcoder-cach-r48,succeeded,code-workloads-single-gpu-b832c8a8c6,meta-llama/Llama-3.2-3B-Instruct,crosscodeeval-rg1-unixcoder-cache-realistic-shard-000_mst_anomaly_rerun,1,1,48,48,101139.709378,79016.9324236,0.0280943637162,531.340769038,116.22273183,415.118037209,118.947,528.494,650.576,680.859,693.5084,700.911,11.8236742317,9.23742488001,11.8181478591,9.23310731755,0.00956595009275,0.00747354364267,8554,8558,10540903,31984,10572887,190.348106661,1,
meta-llama-llama-3-2-3b-instruct-repobench-python-java-aggregate-r17_5,succeeded,code-workloads-single-gpu-624f9552fc,meta-llama/Llama-3.2-3B-Instruct,repobench-python-java-aggregate-cache-realistic-8k-drop-shard-000_mst_anomaly_rerun,1,1,17.5,17.5,58377.8120692,35552.7349638,0.0162160589081,306.204197197,119.72244528,186.481751917,119.757,304.707,407.333,434.407,511.204,554.479,21.790896629,13.2708977095,18.2773362771,11.1311004896,0.00493911638867,0.00300797665582,2679,3194,11812521,6964,11819485,190.649940803,1,
google-gemma-4-26b-a4b-it-crosscodeeval-rg1-unixcoder-cach-r22-d3b5552c,succeeded,code-workloads-30b-tp2-0c45271d83,google/gemma-4-26B-A4B-it,crosscodeeval-rg1-unixcoder-cache-realistic-shard-000_mst_anomaly_rerun,2,2,22,22,173424.964722,127970.301842,0.0481736013116,902.470862726,236.537507101,665.933355624,238.239,908.246,1134.293,1184.1734,1208.289,1214.199,43.994156449,32.463293212,43.9272960288,32.4139569001,0.0300380730114,0.0221650976039,3942,3948,5759356,14149,5773505,192.16682985,1,
google-gemma-4-26b-a4b-it-repobench-python-java-aggregate-r8_5,succeeded,code-workloads-30b-tp2-fdc162769f,google/gemma-4-26B-A4B-it,repobench-python-java-aggregate-cache-realistic-8k-drop-shard-000_mst_anomaly_rerun,2,2,8.5,8.5,92241.9907057,46029.1466933,0.025622775196,472.142790399,236.541524715,235.601265684,236.657,454.522,708.893,772.2692,902.288,1037.117,73.1498736762,36.5020988844,58.4920676637,29.1877911815,0.0125436060003,0.00625931288159,1261,1577,7352175,1531,7353706,195.368843031,1,
meta-llama-codellama-34b-instruct-hf-shard-000-r5_91,succeeded,code-workloads-30b-tp4-0b42a2b5d8,meta-llama/CodeLlama-34b-Instruct-hf,shard_000,4,4,5.91,5.91018313465,235880.883166,143719.933352,0.0655224675462,1245.75987748,486.73047179,759.029405693,488.539,1194.584,1864.253,2110.275,2572.50274,2767.37,228.345482252,139.128686691,227.684250161,138.725804393,0.141217963355,0.0860427348286,1033,1036,1666508,3824,1670332,189.346990082,1,
meta-llama-codellama-34b-instruct-hf-shard-000-r2,succeeded,code-workloads-30b-tp4-5577d5ac88,meta-llama/CodeLlama-34b-Instruct-hf,shard_000,4,4,2,2,133927.564186,38239.6443059,0.0372021011628,659.911636795,471.490482287,188.421154508,466.53,546.985,1037.1793,1225.6859,1537.45358,1840.475,513.132429832,146.512047149,391.601064872,111.811825456,0.0769159790849,0.0219614214558,261,342,1740928,291,1741219,202.947723178,1,
