job_id,status,source_experiment_id,model,workload,gpu_count,tensor_parallel_size,request_rate,mst_rate,energy_joules,incremental_energy_joules,energy_kwh,avg_power_w,idle_avg_power_w,incremental_avg_power_w,min_power_w,p50_power_w,p90_power_w,p95_power_w,p99_power_w,max_power_w,energy_per_successful_request_j,incremental_energy_per_successful_request_j,energy_per_total_request_j,incremental_energy_per_total_request_j,energy_per_total_token_j,incremental_energy_per_total_token_j,successful_requests,started_requests,total_input_tokens,total_output_tokens,total_tokens,monitor_duration_s,repeat_count,successful_repeat_count
google-gemma-4-e4b-it-longbench-long-output-summarizat-r2_24,succeeded,longbench-expanded-single-gpu-95e1a4e417,google/gemma-4-E4B-it,longbench_long_output_summarization,1,1,2.24,2.24428665815,116874.394991,71326.3223073,0.0324651097198,306.510057446,119.45253172,187.057525726,119.544,124.221,625.807,641.769,660.228,681.85,310.011657802,189.194488879,309.191521141,188.693974358,0.0307363197991,0.0187578181919,377,378,3650149,152336,3802485,381.306884235,1,
google-gemma-4-e4b-it-longbench-short-answer-document-r5_9,succeeded,longbench-expanded-single-gpu-e840d4b6fd,google/gemma-4-E4B-it,longbench_short_answer_document_qa,1,1,5.9,5.904466498,96850.5432913,68134.009951,0.026902928692,412.214084559,122.222954052,289.991130507,121.159,467.697,666.899,675.252,683.205,691.426,93.036064641,65.4505378972,93.036064641,65.4505378972,0.0181400296216,0.0127614457983,1041,1041,5320331,18720,5339051,234.952047781,1,
google-gemma-4-e4b-it-longbench-medium-answer-rag-qa-m-r4,succeeded,longbench-expanded-single-gpu-medium-answer-rag-fd58fa2d85,google/gemma-4-E4B-it,longbench-medium-answer-rag-qa_mst_anomaly_rerun,1,1,4,4.0020011979,104468.398815,78123.4739345,0.0290189996709,495.96282411,125.072304094,370.890520016,135.032,530.555,667.314,673.7026,683.271,688.742,150.965894242,112.895193547,150.965894242,112.895193547,0.022857605202,0.0170933559283,692,692,4504859,65541,4570400,210.637559383,1,
google-gemma-4-e4b-it-longbench-medium-output-summariz-r4_9,succeeded,longbench-expanded-single-gpu-medium-output-925002eccf,google/gemma-4-E4B-it,longbench-medium-output-summarization_mst_anomaly_rerun,1,1,4.9,4.90351631088,93514.2233853,61304.0296042,0.0259761731626,354.159318272,121.987221387,232.172096885,122.395,389.366,568.655,621.572,658.441,676.388,97.6140118845,63.9916801714,97.6140118845,63.9916801714,0.0264702327032,0.0173527819675,958,958,3390623,142184,3532807,264.045638674,1,
qwen-qwen3-30b-a3b-instruct-2507-longbench-long-output-summarizat-r3_17,succeeded,longbench-expanded-30b-tp4-dd832ace00,Qwen/Qwen3-30B-A3B-Instruct-2507,longbench_long_output_summarization,4,4,3.17,3.17656787946,436616.905326,267967.398103,0.121282473702,1202.21926945,464.374340282,737.844929168,464,1560.0105,2025.5115,2076.95225,2176.15413,2366.456,799.664661768,490.782780408,799.664661768,490.782780408,0.0785826487601,0.0482289798388,546,546,5214197,341952,5556149,363.175767034,1,
qwen-qwen3-30b-a3b-instruct-2507-longbench-medium-answer-rag-qa-r6_02,succeeded,longbench-expanded-30b-tp4-6dd56901c8,Qwen/Qwen3-30B-A3B-Instruct-2507,longbench_medium_answer_rag_qa,4,4,6.02,6.02976715129,319882.632131,221472.319202,0.088856286703,1513.86803368,465.734028556,1048.13400513,467.242,1681.996,1880.253,1917.763,2055.6144,2216.573,296.187622343,205.066962224,296.187622343,205.066962224,0.0454759664638,0.0314855098371,1080,1080,6928048,106055,7034103,211.301530261,1,
qwen-qwen3-30b-a3b-instruct-2507-longbench-short-answer-document-r7_62,succeeded,longbench-expanded-30b-tp4-dd3c62c22c,Qwen/Qwen3-30B-A3B-Instruct-2507,longbench_short_answer_document_qa,4,4,7.62,7.62668031162,285173.760112,174605.899264,0.0792149333645,1199.53929894,465.086599254,734.452699683,463.107,1390.985,1817.82,1847.841,1933.03998,2076.306,217.856195655,133.388769491,217.856195655,133.388769491,0.0416420084615,0.0254965265097,1309,1309,6819025,29198,6848223,237.736071144,1,
qwen-qwen3-30b-a3b-instruct-2507-longbench-medium-output-summariz-r6,succeeded,longbench-expanded-30b-tp4,Qwen/Qwen3-30B-A3B-Instruct-2507,longbench-medium-output-summarization_mst_anomaly_rerun,4,4,6,6,314210.058365,188052.224361,0.0872805717681,1160.02906863,465.760884427,694.268184203,467.179,1375.223,1633.7259,1724.13485,1926.4671,2123.979,288.796009527,172.842117979,288.796009527,172.842117979,0.0784180863867,0.0469326018775,1088,1088,3819421,187436,4006857,270.863952346,1,
meta-llama-llama-3-1-70b-instruct-longbench-long-output-summarizat-r0_78,succeeded,longbench-expanded-70b-tp4-701a8ab16b,meta-llama/Llama-3.1-70B-Instruct,longbench_long_output_summarization,4,4,0.78,0.785205322957,562020.066332,393523.509986,0.156116685092,1549.34826908,464.50271718,1084.8455519,461.891,1968.536,2752.9554,2760.3112,2770.37576,2793.798,3771.94675391,2641.09738246,3771.94675391,2641.09738246,0.369943290332,0.259032356367,149,149,1466775,52431,1519206,362.746115607,1,
meta-llama-llama-3-1-70b-instruct-longbench-medium-answer-rag-qa-r0_69,succeeded,longbench-expanded-70b-tp4-683de431eb,meta-llama/Llama-3.1-70B-Instruct,longbench_medium_answer_rag_qa,4,4,0.69,0.698826404005,357194.023444,257091.366105,0.0992205620677,1661.99939418,465.770827429,1196.22856675,467.901,1846.42,2599.9928,2755.8552,2777.68326,2811.368,3247.21839494,2337.19423732,3247.21839494,2337.19423732,0.5057242135,0.363996372805,110,110,696264,10038,706302,214.918263325,1,
meta-llama-llama-3-1-70b-instruct-longbench-medium-output-summariz-r1_77,succeeded,longbench-expanded-70b-tp4-9a170f3153,meta-llama/Llama-3.1-70B-Instruct,longbench_medium_output_summarization,4,4,1.77,1.77850339583,448475.066159,323678.774181,0.124576407266,1672.95018365,465.528622075,1207.42156158,465.21,1958.009,2711.6802,2759.0432,2773.412,2800.395,1465.60479137,1057.77377183,1465.60479137,1057.77377183,0.405625223205,0.292752674409,306,306,1065164,40475,1105639,268.074369782,1,
meta-llama-llama-3-1-70b-instruct-longbench-short-answer-document-r0_94,succeeded,longbench-expanded-70b-tp4-71e1a35a74,meta-llama/Llama-3.1-70B-Instruct,longbench_short_answer_document_qa,4,4,0.94,0.949873807197,289496.838434,180471.347001,0.0804157884539,1236.20369786,465.558506266,770.645191593,464.361,1049.158,2496.4364,2709.60545,2771.75741,2804.049,1626.38673278,1013.88397192,1626.38673278,1013.88397192,0.301529367859,0.187972385026,178,178,957352,2743,960095,234.182148893,1,
openai-gpt-oss-20b-longbench-long-output-summarizat-r3_29,succeeded,longbench-expanded-single-gpu-230e496c3b,openai/gpt-oss-20b,longbench_long_output_summarization,1,1,3.29,3.29434300408,135316.071227,93057.4432726,0.0375877975631,372.986916169,116.482212197,256.504703972,115.619,428.091,687.715,690.169,692.954,697.971,222.193877221,152.803683535,222.193877221,152.803683535,0.0220915253109,0.0151924368242,609,609,5816537,308711,6125248,362.790396556,1,
openai-gpt-oss-20b-longbench-medium-answer-rag-qa-r4_46,succeeded,longbench-expanded-single-gpu-9727ffeba9,openai/gpt-oss-20b,longbench_medium_answer_rag_qa,1,1,4.46,4.46950008748,107340.241636,81456.0641477,0.0298167337879,497.033959966,119.855471178,377.178488788,121.594,565.561,678.044,684.55485,690.082,692.871,130.584235567,99.0949685495,130.584235567,99.0949685495,0.0197722642648,0.0150043525312,822,822,5348544,80285,5428829,215.961584685,1,
openai-gpt-oss-20b-longbench-medium-output-summariz-r6,succeeded,longbench-expanded-single-gpu-d1d0ac6780,openai/gpt-oss-20b,longbench_medium_output_summarization,1,1,6,6,103890.243016,71332.3823797,0.0288584008378,388.88366384,121.87111863,267.01254521,122.334,451.936,592.175,628.434,687.058,695.5,95.1375851797,65.3226944869,95.1375851797,65.3226944869,0.0259335761058,0.017806328232,1092,1092,3824823,181190,4006013,267.149928568,1,
openai-gpt-oss-20b-longbench-short-answer-document-r6_72,succeeded,longbench-expanded-single-gpu-9548589c4c,openai/gpt-oss-20b,longbench_short_answer_document_qa,1,1,6.72,6.72689231182,94738.1353918,66308.3921814,0.0263161487199,397.688740529,119.34147452,278.34726601,119.225,459.816,639.6,656.881,673.88684,691.764,79.7459052119,55.8151449339,79.7459052119,55.8151449339,0.0152844638276,0.0106977851904,1188,1188,6172196,26133,6198329,238.221819571,1,
qwen-qwen3-30b-a3b-thinking-2507-longbench-long-output-summarizat-r2_28,succeeded,longbench-expanded-30b-tp2-08eb230fa6,Qwen/Qwen3-30B-A3B-Thinking-2507,longbench_long_output_summarization,2,2,2.28,2.28488141665,261662.050634,173806.017241,0.0726839029539,716.822351918,240.681322852,476.141029066,239.36,923.513,1310.3383,1347.407,1374.70582,1388.933,644.487809444,428.093638525,644.487809444,428.093638525,0.0630264934252,0.0418646256741,406,406,3896109,255511,4151620,365.030540599,1,
qwen-qwen3-30b-a3b-thinking-2507-longbench-medium-answer-rag-qa-r5_64,succeeded,longbench-expanded-30b-tp2-b648a4bdb1,Qwen/Qwen3-30B-A3B-Thinking-2507,longbench_medium_answer_rag_qa,2,2,5.64,5.64130870269,223661.146581,171874.957145,0.0621280962725,1037.20402169,240.152770259,797.051251435,241.921,1126.778,1294.093,1314.502,1341.978,1383.065,226.836862658,174.315372358,226.836862658,174.315372358,0.0346447033314,0.026623117119,986,986,6359708,96146,6455854,215.638526175,1,
qwen-qwen3-30b-a3b-thinking-2507-longbench-medium-output-summariz-r5_4,succeeded,longbench-expanded-30b-tp2-7c03885509,Qwen/Qwen3-30B-A3B-Thinking-2507,longbench_medium_output_summarization,2,2,5.4,5.40452884668,197392.888215,132137.772387,0.0548313578375,727.361019553,240.454597979,486.906421574,247.589,873.0295,1079.829,1176.453,1307.40222,1373.826,210.889837837,141.172833747,210.889837837,141.172833747,0.0574727913639,0.0384731521605,936,936,3273584,160961,3434545,271.382274976,1,
qwen-qwen3-30b-a3b-thinking-2507-longbench-short-answer-document-r7_46,succeeded,longbench-expanded-30b-tp2-295c82d5c6,Qwen/Qwen3-30B-A3B-Thinking-2507,longbench_short_answer_document_qa,2,2,7.46,7.46147745595,212144.006833,154506.114927,0.058928890787,898.343617712,244.073038429,654.270579283,250.681,1030.672,1289.1498,1310.3678,1337.21874,1370.384,158.553069382,115.475422218,158.553069382,115.475422218,0.0303861153564,0.022130441965,1338,1338,6951839,29771,6981610,236.150179787,1,
