job_id,status,source_experiment_id,model,workload,gpu_count,tensor_parallel_size,request_rate,mst_rate,energy_joules,incremental_energy_joules,energy_kwh,avg_power_w,idle_avg_power_w,incremental_avg_power_w,min_power_w,p50_power_w,p90_power_w,p95_power_w,p99_power_w,max_power_w,energy_per_successful_request_j,incremental_energy_per_successful_request_j,energy_per_total_request_j,incremental_energy_per_total_request_j,energy_per_total_token_j,incremental_energy_per_total_token_j,successful_requests,started_requests,total_input_tokens,total_output_tokens,total_tokens,monitor_duration_s,repeat_count,successful_repeat_count
qwen-qwen3-8b-shard-000-r1_45,succeeded,reasoning-single-gpu-6cb81d4520,Qwen/Qwen3-8B,shard_000,1,1,1.45,1.45474575949,164930.803507,134789.635968,0.0458141120853,637.667102207,116.533907268,521.133194939,117.011,670.538,697.424,698.922,700.2108,702.585,589.038583953,481.39155703,589.038583953,481.39155703,0.139281784354,0.113827984894,280,280,54789,1129363,1184152,258.647189005,1,
qwen-qwen3-8b-shard-000-r1_27,succeeded,reasoning-single-gpu-e77accb9cb,Qwen/Qwen3-8B,shard_000,1,1,1.27,1.27942121598,152347.359712,123162.143863,0.0423187110312,606.576915307,116.202067669,490.374847638,119.881,646.411,686.967,688.764,691.45,695.358,686.249368073,554.784431815,686.249368073,554.784431815,0.155618777656,0.125806855581,222,222,73079,905899,978978,251.159178445,1,
qwen-qwen3-30b-a3b-thinking-2507-shard-000-r3_54,succeeded,reasoning-30b-tp4-9695a0ef86,Qwen/Qwen3-30B-A3B-Thinking-2507,shard_000,4,4,3.54,3.54793310909,476574.369799,357422.690284,0.132381769389,1903.69680185,475.956504594,1427.74029726,497.418,2008.725,2094.0782,2107.13105,2126.20397,2137.957,707.083634717,530.300727424,707.083634717,530.300727424,0.175302361265,0.131473796215,674,674,138671,2579914,2718585,250.341529878,1,
qwen-qwen3-30b-a3b-thinking-2507-shard-000-r3_25,succeeded,reasoning-30b-tp4-4ed63fb8e5,Qwen/Qwen3-30B-A3B-Thinking-2507,shard_000,4,4,3.25,3.25655202992,482482.078447,361151.405428,0.134022799568,1910.98537461,480.559075639,1430.42629897,503.085,2039.0155,2102.6312,2111.319,2123.20063,2135.958,748.03423015,559.924659578,748.03423015,559.924659578,0.170646772975,0.127733908978,645,645,207898,2619475,2827373,252.478163809,1,
google-gemma-4-26b-a4b-it-shard-000-r3_33,succeeded,reasoning-30b-tp4-6c71812cdb,google/gemma-4-26B-A4B-it,shard_000,4,4,3.33,3.3343555583,439696.043623,317074.518831,0.122137789895,1721.74538113,480.156796949,1241.58858418,496.061,1819.029,1931.0924,1948.07475,1964.04688,1979.102,751.617168586,542.007724498,751.617168586,542.007724498,0.187095543674,0.134918724756,585,585,120373,2229742,2350115,255.378088097,1,
google-gemma-4-26b-a4b-it-shard-000-r0_91,succeeded,reasoning-30b-tp4-b4a4d04932,google/gemma-4-26B-A4B-it,shard_000,4,4,0.91,0.915591898722,305778.197193,197627.881448,0.0849383881091,1351.07140247,477.858788208,873.21261426,489.474,1406.0135,1488.6986,1511.28695,1521.7463,1528.88,1788.17659177,1155.71860496,1788.17659177,1155.71860496,0.450363935903,0.291075267465,171,171,52965,625993,678958,226.322751436,1,
meta-llama-llama-3-1-8b-instruct-mmlu-pro-reasoning-shard-000-mst-r2_12,succeeded,reasoning-single-gpu-6089a26e57,meta-llama/Llama-3.1-8B-Instruct,mmlu-pro-reasoning-shard-000_mst_anomaly_rerun,1,1,2.12,2.125,162846.202492,133110.656599,0.0452350562479,648.45256984,118.406759599,530.045810241,124.69,692.007,699.45,700.235,701.766,704.151,441.31762193,360.733486718,441.31762193,360.733486718,0.126572243068,0.103460284146,369,369,71398,1215189,1286587,251.130475946,1,
meta-llama-llama-3-1-8b-instruct-supergpqa-hard-reasoning-shard-0-r1_93,succeeded,reasoning-single-gpu-650675509b,meta-llama/Llama-3.1-8B-Instruct,supergpqa-hard-reasoning-shard-000_mst_anomaly_rerun,1,1,1.93,1.9375,166413.666062,134585.625799,0.0462260183504,638.611857786,122.139992481,516.471865305,127.197,678.373,698.904,699.61,700.97812,703.643,485.17103808,392.377917782,485.17103808,392.377917782,0.130455754956,0.105504973452,343,343,110395,1165238,1275633,260.586558224,1,
qwen-qwen3-235b-a22b-thinking-2507-shard-000-r0_67,succeeded,reasoning-qwen3-235b-a22b-tp8-3f2ab3a7e5,Qwen/Qwen3-235B-A22B-Thinking-2507,shard_000,8,8,0.67,0.670526501932,1058764.35011,777374.603486,0.294101208363,3609.51405086,959.307181144,2650.20686971,1025.104,3721.37,3898.8872,3910.6542,3953.62068,3968.629,9206.64652268,6759.77916075,9206.64652268,6759.77916075,2.61613854563,1.92084259766,115,115,20391,384314,404705,293.326008762,1,
qwen-qwen3-235b-a22b-thinking-2507-shard-000-r0_71,succeeded,reasoning-qwen3-235b-a22b-tp8-cb9a7fdd72,Qwen/Qwen3-235B-A22B-Thinking-2507,shard_000,8,8,0.71,0.713979401248,1140267.03033,840539.20936,0.316740841759,3653.20516613,960.272633409,2692.93253272,1016.448,3801.447,3882.2212,3908.1735,3969.66982,3974.236,8262.80456762,6090.86383594,8262.80456762,6090.86383594,1.9175560423,1.4135119203,138,138,41556,553090,594646,312.127838016,1,
qwen-qwen3-30b-a3b-thinking-2507-shard-000-r2_34,succeeded,reasoning-30b-tp2-ee06df169a,Qwen/Qwen3-30B-A3B-Thinking-2507,shard_000,2,2,2.34,2.34007560609,279115.812248,217154.587966,0.077532170069,1063.82641295,236.159988356,827.666424596,239.997,1125.222,1166.9003,1172.72265,1191.779,1199.333,730.669665571,568.467507764,730.669665571,568.467507764,0.181616938316,0.141299595641,382,382,76196,1460642,1536838,262.369695704,1,
