job_id,status,source_experiment_id,model,workload,gpu_count,tensor_parallel_size,request_rate,mst_rate,energy_joules,incremental_energy_joules,energy_kwh,avg_power_w,idle_avg_power_w,incremental_avg_power_w,min_power_w,p50_power_w,p90_power_w,p95_power_w,p99_power_w,max_power_w,energy_per_successful_request_j,incremental_energy_per_successful_request_j,energy_per_total_request_j,incremental_energy_per_total_request_j,energy_per_total_token_j,incremental_energy_per_total_token_j,successful_requests,started_requests,total_input_tokens,total_output_tokens,total_tokens,monitor_duration_s,repeat_count,successful_repeat_count
qwen-qwen3-30b-a3b-thinking-2507-live-sharegpt-workload-context-m-r65,succeeded,qwen3-30b-a3b-thinking-h100-tp4,Qwen/Qwen3-30B-A3B-Thinking-2507,live_sharegpt_workload_context_mst_anomaly_rerun,4,4,65,65,461686.642508,318651.868433,0.128246289585,1585.56330881,491.220921638,1094.34238717,504.831,1891.88516667,1988.4475,2018.77,2074.17195,2141.512,39.1924431935,27.0502613639,39.1924431935,27.0502613639,0.0761394723863,0.052550758666,11780,11780,2803523.66667,3260179.33333,6063703,291.182170332,3,3
qwen-qwen3-32b-live-sharegpt-workload-context-8-r4_27,succeeded,qwen3-32b-h100-tp1,Qwen/Qwen3-32B,live_sharegpt_workload_context_8192,1,1,4.27,4.27687403708,125235.405018,96460.0640643,0.034787612505,581.892655051,133.702142022,448.19051303,131.312666667,617.17,654.720666667,667.2975,685.705333333,697.725666667,162.459798592,125.117660162,162.459798592,125.117660162,0.319928445471,0.246395814864,772.333333333,772.333333333,182835.666667,209144,391979.666667,215.219745314,3,3
meta-llama-llama-2-13b-chat-hf-live-sharegpt-workload-context-4-r9_04,succeeded,llama-2-13b-chat-h100-tp1,meta-llama/Llama-2-13b-chat-hf,live_sharegpt_workload_context_4096,1,1,9.04,9.0462299547,135916.221303,110446.723846,0.0377545059176,643.089197415,120.508747703,522.580449712,123.162666667,680.606,693.267466667,695.706,700.025333333,705.733333333,84.2992645941,68.5000274415,84.2992645941,68.5000274415,0.147955396175,0.120226247967,1613,1613,397036.333333,521898.666667,918935,211.34978118,3,3
meta-llama-llama-2-7b-chat-hf-live-sharegpt-workload-context-4-r19_21,succeeded,llama-2-7b-chat-h100-tp1,meta-llama/Llama-2-7b-chat-hf,live_sharegpt_workload_context_4096,1,1,19.21,19.2183246674,137971.983144,113559.246856,0.0383255508733,658.366517418,116.490232247,541.876285171,126.106,692.596166667,698.482066667,699.835033333,703.14915,709.297666667,39.7005770373,32.6760311762,39.7005770373,32.6760311762,0.069386393295,0.0571093483643,3475.66666667,3475.66666667,865444.333333,1123255,1988699.33333,209.568955416,3,3
openai-gpt-oss-120b-live-sharegpt-workload-context-8-r21_51,succeeded,gpt-oss-120b-h100-tp2,openai/gpt-oss-120b,live_sharegpt_workload_context_8192,2,2,21.51,21.5169152071,249738.987413,197713.292667,0.0693719409481,1176.95248652,245.181166202,931.771320323,250.308333333,1265.9225,1294.21276667,1300.66796667,1312.02641667,1323.51566667,64.8268720927,51.3217918036,63.5459803272,50.3076839858,0.129822876119,0.102777573392,3852.66666667,3930.33333333,897149.333333,1026714.33333,1923863.66667,212.192867634,3,3
google-gemma-4-e4b-it-live-sharegpt-workload-context-r54_23,succeeded,gemma-4-e4b-it-h100-tp1,google/gemma-4-E4B-it,live_sharegpt_workload_context,1,1,54.23,54.2341793943,121845.284192,95712.1580833,0.0338459122756,563.526614053,120.863637427,442.662976626,122.902666667,614.063,642.928666667,649.183866667,661.702,675.187333333,12.5882593506,9.88832092727,12.5882593506,9.88832092727,0.0235524094397,0.0185008903762,9680.33333333,9680.33333333,2387907.33333,2786061.33333,5173968.66667,216.219920773,3,3
meta-llama-codellama-34b-instruct-hf-live-sharegpt-workload-context-1-r3_51,succeeded,codellama-34b-instruct-h100-tp1,meta-llama/CodeLlama-34b-Instruct-hf,live_sharegpt_workload_context_16384,1,1,3.51,3.51934821328,127796.145148,100608.253714,0.0354989292079,593.419858508,126.241609023,467.178249486,130.048666667,623.383,661.453366667,673.511133333,688.136333333,700.685,199.366341775,156.948072005,199.366341775,156.948072005,0.328132572951,0.258318332989,641.333333333,641.333333333,183323.333333,206306.333333,389629.666667,215.3639489,3,3
qwen-qwen3-30b-a3b-instruct-2507-live-sharegpt-workload-context-r22_81,succeeded,qwen3-30b-a3b-instruct-h100-tp1,Qwen/Qwen3-30B-A3B-Instruct-2507,live_sharegpt_workload_context,1,1,22.81,22.810640964,131423.041951,102945.22588,0.0365064005421,600.92671069,130.201957393,470.724753297,134.942666667,640.053,655.865866667,660.079533333,668.182333333,679.498666667,31.9270320655,25.009587287,31.9270320655,25.009587287,0.0626064117835,0.049042055115,4117,4117,970763.333333,1128872,2099635.33333,218.720337553,3,3
qwen-qwen3-4b-thinking-2507-live-sharegpt-workload-context-m-r42_62,succeeded,qwen3-4b-thinking-h100-tp1,Qwen/Qwen3-4B-Thinking-2507,live-sharegpt-workload-context_mst_anomaly_rerun,1,1,42.62,42.6203359272,168797.20954,46823.7772397,0.0468881137612,228.410570606,165.165492063,63.2450785424,169.222333333,229.518,234.812666667,236.410533333,243.4144,405.831,22.2693151002,6.17786323516,22.2693151002,6.17786323516,0.0431825043089,0.0119794103688,7581.33333333,7581.33333333,1803204,2106398,3909602,738.492228471,3,3
google-gemma-4-31b-it-live-sharegpt-workload-context-r25_15,succeeded,gemma-4-31b-it-h100-tp4,google/gemma-4-31B-it,live_sharegpt_workload_context,4,4,25.15,25.1534208689,499400.505689,390176.206443,0.138722362691,2205.11839709,482.283007275,1722.83538981,493.372333333,2388.37616667,2500.61666667,2530.65823333,2584.79770333,2628.74933333,109.767095969,85.759447633,109.767095969,85.759447633,0.204678175021,0.159911889321,4549.66666667,4549.66666667,1131891.66667,1308080,2439971.66667,226.473455623,3,3
