job_id,status,source_experiment_id,model,workload,gpu_count,tensor_parallel_size,request_rate,mst_rate,energy_joules,incremental_energy_joules,energy_kwh,avg_power_w,idle_avg_power_w,incremental_avg_power_w,min_power_w,p50_power_w,p90_power_w,p95_power_w,p99_power_w,max_power_w,energy_per_successful_request_j,incremental_energy_per_successful_request_j,energy_per_total_request_j,incremental_energy_per_total_request_j,energy_per_total_token_j,incremental_energy_per_total_token_j,successful_requests,started_requests,total_input_tokens,total_output_tokens,total_tokens,monitor_duration_s,repeat_count,successful_repeat_count
qwen-qwen3-30b-a3b-thinking-2507-wildchat-hf-r40,succeeded,qwen3-30b-a3b-thinking-h100-wildchat-tp4,Qwen/Qwen3-30B-A3B-Thinking-2507,wildchat_hf,4,4,40,40,376850.889855,271709.482581,0.104680802737,1726.22195234,481.615965949,1244.60598639,493.288,1836.669,1898.192,1913.1115,1935.3565,1998.423,53.1000267514,38.285118019,53.1000267514,38.285118019,0.0978194985597,0.0705278561243,7097,7097,1455021,2397492,3852513,218.309638192,1,
qwen-qwen3-32b-wildchat-hf-8192-r2_7,succeeded,qwen3-32b-h100-wildchat-tp1,Qwen/Qwen3-32B,wildchat_hf_8192,1,1,2.7,2.70847458558,112827.108433,87882.5722355,0.0313408634536,525.596205094,116.20215873,409.394046364,117.02,550.485,580.606,600.204,648.32,683.553,236.039975801,183.854753631,236.039975801,183.854753631,0.454211755272,0.353791725653,478,478,94560,153842,248402,214.664998224,1,
meta-llama-llama-2-13b-chat-hf-wildchat-hf-4096-r6_48,succeeded,llama-2-13b-chat-h100-wildchat-tp1,meta-llama/Llama-2-13b-chat-hf,wildchat_hf_4096,1,1,6.48,6.48957418312,133940.317498,107165.127626,0.0372056437493,634.361611637,126.811350877,507.55026076,127.357,666.395,687.536,691.409,695.981,702.826,110.148287416,88.1292167977,110.148287416,88.1292167977,0.200839881028,0.160691208479,1216,1216,219808,447093,666901,211.141902411,1,
meta-llama-llama-2-7b-chat-hf-wildchat-hf-4096-r15_33,succeeded,llama-2-7b-chat-h100-wildchat-tp1,meta-llama/Llama-2-7b-chat-hf,wildchat_hf_4096,1,1,15.33,15.3366010754,140302.82138,115093.791347,0.038973005939,647.739647458,116.383177945,531.356469514,118.176,689.525,697.364,699.174,702.612,766.042,50.9451058026,41.7915001258,50.9451058026,41.7915001258,0.0894364035052,0.0733668408271,2754,2754,542572,1026172,1568744,216.603726406,1,
openai-gpt-oss-120b-wildchat-hf-8192-r18_59,succeeded,gpt-oss-120b-h100-wildchat-tp2,openai/gpt-oss-120b,wildchat_hf_8192,2,2,18.59,18.5941469954,245026.526796,192796.878322,0.06806292411,1115.20610805,237.716396514,877.48971154,238.742,1209.048,1235.05,1240.9705,1251.56435,1260.627,71.2700776021,56.0782077724,71.2700776021,56.0782077724,0.142254900613,0.111931965582,3438,3438,665899,1056548,1722447,219.714118338,1,
google-gemma-4-e4b-it-wildchat-hf-r48_18,succeeded,gemma-4-e4b-it-h100-wildchat-tp1,google/gemma-4-E4B-it,wildchat_hf,1,1,48.18,48.186541432,116139.609764,89807.1182745,0.0322610027121,515.390244325,116.855130217,398.535114108,117.457,573.375,604.179,612.014,626.509,642.278,13.5708821878,10.4939376343,13.5708821878,10.4939376343,0.0255606536638,0.0197652519363,8558,8558,1812650,2731037,4543687,225.343050324,1,
meta-llama-codellama-34b-instruct-hf-wildchat-hf-16384-r2_2,succeeded,codellama-34b-instruct-h100-wildchat-tp1,meta-llama/CodeLlama-34b-Instruct-hf,wildchat_hf_16384,1,1,2.2,2.20455059871,116813.992088,91795.6132857,0.0324483311357,541.817532,116.042573456,425.774958545,119.138,556.152,595.857,610.1751,670.953,700.553,283.529107011,222.804886616,283.529107011,222.804886616,0.448293167374,0.352280968188,412,412,110873,149702,260575,215.596552694,1,
qwen-qwen3-30b-a3b-instruct-2507-wildchat-hf-r12_77,succeeded,qwen3-30b-a3b-instruct-h100-wildchat-tp1,Qwen/Qwen3-30B-A3B-Instruct-2507,wildchat_hf,1,1,12.77,12.7709844937,117369.954936,91475.8038166,0.0326027652599,528.406419069,116.576986633,411.829432436,118.033,558.47,580.3361,585.64725,596.426,607.342,52.2340698423,40.7101930648,52.2340698423,40.7101930648,0.0994641247973,0.0775203566512,2247,2247,453670,726353,1180023,222.120607737,1,
qwen-qwen3-4b-thinking-2507-wildchat-hf-r44_73,succeeded,chat-rerun-wildchat-qwen3-4b-thinking,Qwen/Qwen3-4B-Thinking-2507,wildchat_hf,1,1,44.73,44.7359581701,142988.280033,116526.894098,0.0397189666759,640.119047692,118.460318296,521.658729396,122.762,689.592,693.412,694.339,695.939,698.751,17.7426827191,14.4592249781,17.7426827191,14.4592249781,0.0326499302726,0.0266077399232,8059,8059,1663065,2716371,4379436,223.377636627,1,
qwen-qwen3-8b-wildchat-hf-r32_65,succeeded,qwen3-8b-h100-wildchat-tp1,Qwen/Qwen3-8B,wildchat_hf,1,1,32.65,32.6540141489,146310.966738,118796.983,0.040641935205,632.465284452,118.93598914,513.529295313,120.65,690.036,694.302,695.4345,697.797,700.82,25.6595872918,20.8342656963,25.6595872918,20.8342656963,0.0474885277349,0.0385582430888,5702,5702,1162391,1918584,3080975,231.334383617,1,
qwen-qwen3-30b-a3b-thinking-2507-wildchat-hf-r31_66,succeeded,qwen3-30b-a3b-thinking-h100-wildchat-tp2,Qwen/Qwen3-30B-A3B-Thinking-2507,wildchat_hf,2,2,31.66,31.6679493243,247856.934689,193335.079658,0.0688491485248,1082.62872284,238.149182122,844.479540717,242.73,1180.512,1210.0538,1217.7764,1234.515,1249.682,43.2107626725,33.7055578204,43.2107626725,33.7055578204,0.0798755460983,0.0623050756558,5736,5736,1170214,1932825,3103039,228.939921379,1,
qwen-qwen3-235b-a22b-thinking-2507-wildchat-hf-r13_09,succeeded,qwen3-235b-a22b-thinking-h100-wildchat-tp8,Qwen/Qwen3-235B-A22B-Thinking-2507,wildchat_hf,8,8,13.09,13.0973056264,888473.447475,653641.477389,0.246798179854,3624.22952115,957.918282096,2666.31123905,1005.633,3794.614,3965.137,4028.10875,4192.56693,4392.541,380.339660734,279.81227628,380.339660734,279.81227628,0.715382386715,0.526300027851,2336,2336,464083,777873,1241956,245.14822869,1,
meta-llama-llama-3-2-3b-instruct-wildchat-hf-r56_44,succeeded,llama-3-2-3b-instruct-h100-wildchat-tp1,meta-llama/Llama-3.2-3B-Instruct,wildchat_hf,1,1,56.44,56.44574063,137643.066535,111821.768488,0.0382341851485,631.694785387,118.503457811,513.191327576,119.945,689.825,694.216,695.304,697.89,701.687,13.3014173304,10.8061237426,13.3014173304,10.8061237426,0.0255163528917,0.0207295854237,10348,10348,2099696,3294612,5394308,217.894891202,1,
qwen-qwen3-235b-a22b-instruct-2507-wildchat-hf-r12_8,succeeded,qwen3-235b-a22b-instruct-h100-wildchat-tp8,Qwen/Qwen3-235B-A22B-Instruct-2507,wildchat_hf,8,8,12.8,12.8079437081,883794.955806,646520.050412,0.245498598835,3587.55626354,963.161271103,2624.39499244,1002.415,3751.62,3923.6528,3978.8004,4158.6778,4383.913,406.529418494,297.387327696,406.529418494,297.387327696,0.780991484693,0.57131651492,2174,2174,447639,683993,1131632,246.350131087,1,
openai-gpt-oss-20b-wildchat-hf-r28_67,succeeded,gpt-oss-20b-h100-wildchat-tp1,openai/gpt-oss-20b,wildchat_hf,1,1,28.67,28.6745120835,115538.1179,89882.2441267,0.0320939216388,537.77336021,119.415528822,418.357831388,120.656,578.377,598.513,611.832,637.632,651.636,22.18473846,17.258495416,22.18473846,17.258495416,0.0436020046153,0.0339199399686,5208,5208,1006222,1643613,2649835,214.845372509,1,
qwen-qwen3-30b-a3b-instruct-2507-wildchat-hf-8k-mst-anomaly-rerun-r60,succeeded,qwen3-30b-a3b-instruct-h100-wildchat-tp4,Qwen/Qwen3-30B-A3B-Instruct-2507,wildchat_hf_8k_mst_anomaly_rerun,4,4,60,60,382943.237368,268114.465503,0.106373121491,1600.78537141,480.009046465,1120.77632495,494.217,1664.728,1903.9072,1933.6054,2013.28636,2042.013,35.7489952733,25.0293563763,35.7489952733,25.0293563763,0.0676681812158,0.0473773041741,10712,10712,2160573,3498560,5659133,239.222099481,1,
qwen-qwen3-30b-a3b-instruct-2507-wildchat-hf-r40,succeeded,qwen3-30b-a3b-instruct-h100-wildchat-tp4,Qwen/Qwen3-30B-A3B-Instruct-2507,wildchat_hf,4,4,40,40,377709.369525,272150.037134,0.104919269312,1734.57003919,484.764398493,1249.8056407,495.66,1840.623,1903.676,1917.648,1939.207,1988.573,52.532596596,37.8511873621,52.532596596,37.8511873621,0.0982971283025,0.0708257969648,7190,7190,1483941,2358586,3842527,217.753887702,1,
meta-llama-codellama-34b-instruct-hf-wildchat-hf-16384-r16_59,succeeded,codellama-34b-instruct-h100-wildchat-tp2,meta-llama/CodeLlama-34b-Instruct-hf,wildchat_hf_16384,2,2,16.59,16.593643153,307698.951774,249919.808923,0.0854719310484,1300.57233485,244.219079365,1056.35325548,259.815,1384.949,1392.747,1396.326,1398.939,1406.119,102.36159407,83.1403223296,102.36159407,83.1403223296,0.165442085542,0.134375675211,3006,3006,772528,1087331,1859859,236.587341995,1,
qwen-qwen3-30b-a3b-instruct-2507-wildchat-hf-8k-mst-anomaly-rerun-r47_5,succeeded,qwen3-30b-a3b-instruct-h100-wildchat-tp2,Qwen/Qwen3-30B-A3B-Instruct-2507,wildchat_hf_8k_mst_anomaly_rerun,2,2,47.5,47.5,264383.531242,207979.835451,0.0734398697893,1160.47633314,247.576517946,912.899815198,252.011,1256.43,1290.761,1298.3964,1312.05,1340.498,30.9329040882,24.3336650814,30.9329040882,24.3336650814,0.0584857466935,0.0460083724444,8547,8547,1733890,2786588,4520478,227.823285741,1,
qwen-qwen3-4b-instruct-2507-wildchat-hf-r47_29,succeeded,chat-rerun-wildchat-qwen3-4b-instruct,Qwen/Qwen3-4B-Instruct-2507,wildchat_hf,1,1,47.29,47.2977264299,143473.996623,116125.570752,0.0398538879509,640.938174285,122.17301086,518.765163425,123.781,689.7,693.593,694.511,696.708,700.034,16.8416476844,13.6313617504,16.8416476844,13.6313617504,0.0320818897496,0.0259665712648,8519,8519,1756239,2715879,4472118,223.84997864,1,
google-gemma-4-26b-a4b-it-wildchat-hf-r35_11,succeeded,gemma-4-26b-a4b-it-h100-wildchat-tp2,google/gemma-4-26B-A4B-it,wildchat_hf,2,2,35.11,35.1113057114,233121.533012,176549.749594,0.0647559813921,1006.70667267,244.298289891,762.408382775,253.969,1089.136,1130.6404,1142.42,1162.243,1176.632,38.0917537601,28.8479982996,38.0917537601,28.8479982996,0.0710928852115,0.0538407195587,6120,6120,1293708,1985404,3279112,231.568479023,1,
google-gemma-4-31b-it-wildchat-hf-8192-r21_64,succeeded,gemma-4-31b-it-h100-wildchat-tp4,google/gemma-4-31B-it,wildchat_hf_8192,4,4,21.64,21.6438142244,510150.031945,394738.296469,0.141708342207,2139.61548179,484.047281273,1655.56820051,501.325,2321.154,2472.6742,2498.7769,2539.43475,2614.971,129.053891208,99.8579044951,129.053891208,99.8579044951,0.243861181473,0.188692230367,3953,3953,813524,1278445,2091969,238.43070696,1,
qwen-qwen3-32b-wildchat-hf-r29_47,succeeded,qwen3-32b-h100-wildchat-tp4,Qwen/Qwen3-32B,wildchat_hf,4,4,29.47,29.471834052,547306.583049,438899.319085,0.152029606403,2424.09386578,480.15023338,1943.9436324,494.98,2670.49,2719.8794,2728.2846,2738.58728,2749.987,102.703430859,82.3605402674,102.703430859,82.3605402674,0.191056773532,0.153213373284,5329,5329,1078761,1785867,2864628,225.777801254,1,
qwen-qwen3-30b-a3b-instruct-2507-wildchat-hf-r40-d99a244c,succeeded,qwen3-30b-a3b-instruct-h100-wildchat-tp2,Qwen/Qwen3-30B-A3B-Instruct-2507,wildchat_hf,2,2,40,40,261004.505108,204769.865166,0.072501251419,1143.43731986,246.358912281,897.078407577,252.598,1238.733,1276.6198,1285.74,1301.6436,1320.326,36.9276323017,28.97140141,36.9276323017,28.97140141,0.0693598475886,0.054415944402,7068,7068,1448649,2314400,3763049,228.263063113,1,
meta-llama-codellama-34b-instruct-hf-wildchat-hf-16384-r27_33,succeeded,codellama-34b-instruct-h100-wildchat-tp4,meta-llama/CodeLlama-34b-Instruct-hf,wildchat_hf_16384,4,4,27.33,27.3392301154,570257.02732,458669.3688,0.158404729811,2456.40166656,480.66765901,1975.73400755,501.959,2697.227,2741.732,2747.6368,2760.92192,2782.432,115.788228898,93.1308363046,115.788228898,93.1308363046,0.189370423683,0.152314497742,4925,4925,1261470,1749861,3011331,232.151376171,1,
openai-gpt-oss-120b-wildchat-hf-r35,succeeded,gpt-oss-120b-h100-wildchat-tp4,openai/gpt-oss-120b,wildchat_hf,4,4,35,35,409389.54201,303488.724115,0.113719317225,1870.61094228,483.889324038,1386.72161824,486.376,2051.571,2143.716,2164.437,2189.03604,2212.485,64.3593054566,47.7108511421,64.3593054566,47.7108511421,0.126900036239,0.0940735562008,6361,6361,1260161,1965918,3226079,218.853387819,1,
openai-gpt-oss-120b-wildchat-hf-8192-r0_75,succeeded,gpt-oss-120b-h100-wildchat-tp1,openai/gpt-oss-120b,wildchat_hf_8192,1,1,0.75,0.750939464996,54057.1671601,29671.3083601,0.0150158797667,271.087418894,122.290898079,148.796520815,122.021,303.814,400.427,416.734,471.81806,490.381,470.062323131,258.011377045,470.062323131,258.011377045,0.917327074277,0.503509449679,115,115,22699,36230,58929,199.408616529,1,
google-gemma-4-26b-a4b-it-wildchat-hf-8k-mst-anomaly-rerun-r57_5,succeeded,gemma-4-26b-a4b-it-h100-wildchat-tp4,google/gemma-4-26B-A4B-it,wildchat_hf_8k_mst_anomaly_rerun,4,4,57.5,57.5,413530.000483,289497.045715,0.114869444579,1600.10267113,479.930022008,1120.17264912,492.185,1720.0435,1845.175,1877.39335,1948.301,2085.683,40.2383964662,28.1694118629,40.2383964662,28.1694118629,0.0754089064465,0.0527909839947,10277,10277,2140609,3343226,5483835,258.439666369,1,
meta-llama-llama-3-1-8b-instruct-wildchat-hf-r38_17,succeeded,chat-rerun-wildchat-llama3-1-8b-control,meta-llama/Llama-3.1-8B-Instruct,wildchat_hf,1,1,38.17,38.1777486376,147370.090247,119019.698029,0.0409361361796,643.059233962,123.708830409,519.350403553,123.552,690.799,694.106,694.99,697.00168,701.334,21.4356494904,17.311956077,21.4356494904,17.311956077,0.0406203356369,0.0328059789694,6875,6875,1402878,2225110,3627988,229.170319721,1,
