model,chat_q,mmlu_pro,supergpqa,cceval_es,cceval_em,cceval_f1,repobench_es,repobench_em,longbench_long_output_summarization,longbench_medium_output_summarization,longbench_medium_answer_rag_qa,longbench_short_answer_document_qa
Qwen/Qwen3-0.6B,0.203593,24.740000,8.469286,46.790269,4.835298,34.458113,26.479309,0.198015,28.080993,20.953157,33.023166,30.690378
Qwen/Qwen3-1.7B,0.405190,36.760000,20.740531,49.188577,6.588093,38.217733,39.612624,4.585503,31.344731,22.277486,33.191399,41.036574
Qwen/Qwen3-14B,0.834830,61.030000,44.673003,53.148212,10.579345,43.846802,58.082277,22.885240,33.554286,22.130773,31.013529,53.411329
Qwen/Qwen3-235B-A22B-Instruct-2507,0.924651,83.000000,50.262449,57.123905,14.999496,48.893940,66.725529,34.652099,32.500177,20.119239,25.568193,53.608317
Qwen/Qwen3-235B-A22B-Thinking-2507,0.878743,84.400000,47.070506,,,,,,32.391415,18.827913,23.467717,52.572008
Qwen/Qwen3-30B-A3B-Instruct-2507,0.860778,78.400000,37.168393,54.801350,12.168832,46.040543,51.080141,11.487118,31.626445,19.862019,24.550063,52.988110
Qwen/Qwen3-30B-A3B-Thinking-2507,0.808383,80.900000,36.430699,,,,,,31.070554,20.591387,27.603906,52.970565
Qwen/Qwen3-32B,0.824850,65.540000,49.113349,53.406206,11.424542,44.202090,57.977951,20.486806,33.267686,21.982022,29.455616,53.193030
Qwen/Qwen3-4B-Instruct-2507,0.746507,69.600000,26.528586,52.448474,9.448978,42.252727,44.647177,9.168780,30.897652,20.526201,26.394745,51.077777
Qwen/Qwen3-4B-Thinking-2507,0.622754,74.000000,26.415094,,,,,,33.472475,21.300753,24.461595,53.536146
Qwen/Qwen3-8B,0.771457,56.730000,36.373954,52.377733,9.984887,42.740572,46.499889,12.183509,33.526795,21.772930,26.888975,51.815686
google/gemma-4-26B-A4B-it,0.925335,82.600000,54.348134,54.942682,9.247507,45.234539,39.424407,5.642532,32.905710,20.882683,26.222814,54.652658
google/gemma-4-31B-it,0.927146,85.200000,59.775823,65.286621,16.532339,54.763676,52.164467,18.110363,32.131059,21.699137,25.025372,56.187176
google/gemma-4-E2B-it,0.774510,60.000000,26.684636,42.425808,3.082502,29.549358,34.599282,1.853641,32.653044,21.710081,33.520215,49.433652
google/gemma-4-E4B-it,0.854188,69.400000,35.976734,53.904201,6.487358,41.360313,43.559339,8.389054,31.998789,21.607642,27.240478,54.004885
meta-llama/Llama-2-13b-chat-hf,0.300795,25.340000,10.392380,52.876518,7.777541,42.079429,34.431268,0.008637,,,,
meta-llama/Llama-2-70b-chat-hf,0.356322,37.530000,12.155246,53.749734,9.524824,44.039473,31.627769,1.623839,,,,
meta-llama/Llama-2-7b-chat-hf,0.249403,20.320000,8.572647,51.836991,6.776049,40.675301,30.276744,0.095012,,,,
meta-llama/Llama-3.1-70B-Instruct,0.729541,62.840000,17.520216,54.914669,11.626033,45.872292,56.031261,24.839686,37.714872,23.789148,32.646459,55.097052
meta-llama/Llama-3.1-8B-Instruct,0.5,44.250000,8.072067,52.253954,9.076257,42.367444,43.545786,8.155405,36.640718,23.940302,34.558840,53.512043
meta-llama/Llama-3.2-1B-Instruct,0.132735,22.170000,5.007803,46.471844,4.422283,33.904917,24.907330,0.158087,30.374458,21.691071,26.934691,32.561645
meta-llama/Llama-3.2-3B-Instruct,0.346806,11.950000,9.448149,49.505289,6.517578,38.348483,38.278497,3.202031,36.138471,22.797346,37.127145,49.689965
openai/gpt-oss-120b,0.784930,80.800000,51.525039,,,,,,28.766137,17.824185,21.988845,35.022301
openai/gpt-oss-20b,0.713573,73.600000,43.195686,,,,,,30.903283,18.559729,19.776292,34.992310
